stdntid,gender,race,birthmonth,birthday,birthyear,gkclasstype,gkclasssize,gkschid,gksurban,gktchid,gkfreelunch,gktreadss,gktmathss,gktlistss,g1classtype,g1classsize,g1schid,g1surban,g1tchid,g1freelunch,g1treadss,g1tmathss,g1tlistss,g2classtype,g2classsize,g2schid,g2surban,g2tchid,g2freelunch,g2treadss,g2tmathss,g2tlistss,g3classtype,g3classsize,g3schid,g3surban,g3tchid,g3freelunch,g3treadss,g3tmathss,g3tlangss,g3tlistss,,
10062,2,2,9,26,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,205492,2,20549214,1,538,546,561,599,,
10063,1,2,5,13,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,244708,1,24470818,1,588,548,622,3,22,244708,1,24470819,1,582,562,615,595,,
10064,2,2,7,21,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,244776,1,24477619,1,545,554,562,3,21,244776,1,24477622,1,590,558,585,634,,
10065,2,1,5,7,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,216537,3,21653710,2,650,570,587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10066,1,1,5,15,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,193422,3,19342212,1,583,583,572,582,,
10067,1,1,8,11,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,20,253888,3,25388811,1,633,624,650,672,,
10068,1,1,3,18,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,164198,3,16419811,2,614,599,653,637,,
10069,2,2,8,16,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,244764,1,24476406,1,569,546,599,1,14,244764,1,24476410,1,610,606,632,597,,
10070,1,2,9,4,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,244697,1,24469709,1,444,497,534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10071,2,2,8,28,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,244723,1,24472308,1,482,520,538,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10072,2,2,8,30,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,244774,1,24477414,1,526,515,556,2,21,244774,1,24477422,1,600,556,620,612,,
10073,2,2,9,18,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,16,244780,1,24478012,1,NA,NA,NA,NA,,
10074,1,2,9,30,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,21,244697,1,24469708,1,448,518,568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10075,1,2,10,28,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,22,244774,1,24477420,NA,604,614,657,649,,
10076,1,NA,11,1,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,244774,1,24477416,NA,536,559,578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10077,2,2,11,26,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,244755,1,24475515,1,582,584,572,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10078,1,2,12,6,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,244764,1,24476407,1,545,550,567,1,14,244764,1,24476411,1,612,612,630,603,,
10079,1,2,2,24,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,244746,1,24474611,1,582,608,630,632,,
10080,2,2,5,16,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,22,244755,1,24475527,1,610,618,653,627,,
10081,2,NA,11,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,244755,1,24475516,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10082,1,1,5,11,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,253888,3,25388810,2,639,663,627,663,,
10083,1,NA,3,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,169229,2,16922928,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10084,1,1,6,13,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,18,205492,2,20549210,1,500,485,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10085,1,2,12,24,1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,244708,1,24470809,1,514,612,568,3,23,244708,1,24470813,1,560,599,587,3,22,244708,1,24470821,1,606,612,632,627,,
10086,1,2,8,2,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,25,244755,1,24475516,1,532,530,559,3,23,244755,1,24475524,1,552,591,587,595,,
10087,1,NA,12,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,25,218562,4,21856212,2,586,559,581,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10088,1,1,9,13,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,209510,3,20951020,2,NA,NA,NA,NA,,
10089,2,2,7,5,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,244697,1,24469712,1,NA,NA,NA,3,26,244697,1,24469720,1,578,540,604,577,,
10090,2,2,7,9,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,23,252885,3,25288510,2,512,488,548,2,24,252885,3,25288515,1,572,535,576,575,,
10091,1,1,8,19,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,26,169231,1,16923111,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10092,2,1,11,24,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,27,252885,3,25288506,2,629,592,685,2,23,252885,3,25288511,1,650,659,613,2,24,252885,3,25288515,1,639,645,664,627,,
10093,1,2,5,7,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,19,244799,2,24479909,1,566,565,596,3,27,244799,2,24479914,1,573,547,591,634,,
10094,1,2,9,15,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,244799,2,24479916,1,610,622,615,617,,
10095,2,2,4,16,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,218562,4,21856208,1,507,468,543,3,25,218562,4,21856212,1,577,520,564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10096,2,1,5,18,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,189378,3,18937807,1,540,553,596,1,15,189396,3,18939608,1,650,590,665,3,28,189378,3,18937813,2,NA,NA,NA,NA,,
10097,1,1,7,31,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,218562,4,21856208,2,530,507,574,3,25,218562,4,21856212,2,533,528,567,3,24,218562,4,21856216,1,580,576,591,610,,
10098,1,1,6,8,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,259915,3,25991505,1,501,557,592,1,12,259915,3,25991510,1,575,603,613,1,16,259915,3,25991515,1,565,591,574,634,,
10099,1,1,9,29,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,253888,3,25388810,2,600,556,600,622,,
10100,2,1,1,15,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,21,169231,1,16923105,1,521,518,565,3,26,169231,1,16923110,1,577,582,559,3,25,169231,1,16923114,2,NA,NA,NA,NA,,
10101,2,1,1,5,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,216537,3,21653717,2,599,622,611,586,,
10102,2,2,2,22,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,27,169229,2,16922931,1,610,599,653,627,,
10103,1,1,4,15,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,29,189382,2,18938209,NA,650,639,593,2,23,189382,2,18938214,2,661,672,694,629,,
10104,2,1,5,8,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,259915,3,25991507,2,571,601,606,3,23,259915,3,25991511,2,643,632,622,3,25,259915,3,25991514,2,657,663,682,643,,
10105,2,1,6,1,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,24,218562,4,21856208,2,548,502,548,3,25,218562,4,21856212,2,582,572,551,3,24,218562,4,21856216,2,595,612,620,593,,
10106,1,1,8,6,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,13,218562,4,21856205,2,451,529,571,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10107,1,1,9,11,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,26,159171,3,15917106,2,509,553,611,3,22,159171,3,15917112,2,571,599,593,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10108,1,1,9,27,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,164198,3,16419804,2,509,523,538,2,24,164198,3,16419808,2,557,570,559,2,21,164198,3,16419812,2,608,634,622,632,,
10109,2,1,6,13,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,23,228606,3,22860616,NA,NA,NA,NA,NA,,
10110,2,1,9,18,1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,193423,3,19342317,1,608,589,622,586,,
10111,2,1,4,13,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,15,170295,3,17029511,1,659,699,626,1,17,170295,3,17029515,1,650,667,682,672,,
10112,1,1,6,27,1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,14,205491,2,20549109,1,627,563,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,
10113,1,1,1,12,1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,24,164198,3,16419808,2,557,590,599,2,21,164198,3,16419812,2,624,624,615,627,,
