"INTUBATION","VENTLUNG","ERRCAUTER","HRSAT","PULMEMBOLUS","SHUNT","VENTMACH","VENTTUBE","VENTALV","PVSAT","LVFAILURE","STROKEVOLUME","MINVOL","HR","CO","TPR","CATECHOL","FIO2","ARTCO2","INSUFFANESTH","HRBP","DISCONNECT","HISTORY","KINKEDTUBE","PRESS","HYPOVOLEMIA","LVEDVOLUME","CVP","MINVOLSET","HREKG","PAP","BP","EXPCO2","SAO2","PCWP","ANAPHYLAXIS","ERRLOWOUTPUT"
3.4520852652079625e-01,4.7847824957689539e-01,2.9055886760247107e-01,1.7053347524279261e-01,9.4796738053050511e-01,6.7775368815350268e-01,6.8552613390659567e-01,4.6056929650743406e-01,6.3968775970125269e-01,4.7175320787348446e-01,2.3349802326833702e-02,4.7766565170344394e-01,1.1607578151500106e-01,3.8141642847077384e-01,5.5880355521678982e-01,9.3685303327172154e-01,5.1856656919382582e-01,6.6288698850993200e-02,4.2351417188853047e-01,5.0169555160144874e-01,8.9165637346575422e-01,2.1817342227248204e-01,1.9340044247483243e-01,8.5708423703288661e-01,9.3257406642152540e-01,8.0184174364787775e-01,2.0941233445411225e-01,1.7044656642564640e-01,5.6070698074912206e-01,2.1802960938729940e-01,9.4696760235391186e-01,7.4898990285737521e-01,5.2291988105389697e-01,3.6512224807889815e-01,4.8855214427205446e-01,8.1586706870475223e-01,4.4709523237841142e-01
1.1757277254359999e-01,4.4929328940739643e-01,4.3138510608244696e-02,4.8849941392001321e-02,8.0457849542533189e-01,3.1057945710653145e-01,2.8781568213785347e-01,5.0914779258634579e-01,3.5594554764296260e-01,2.9252864217137503e-01,6.0983814607990650e-01,2.6078358130212259e-01,1.7318301683381906e-01,4.4934618634252166e-01,4.1693658045778981e-01,9.4938505868484413e-01,6.0619725961125848e-01,2.7810364902875029e-01,5.0640283726607960e-01,6.4707279080853564e-01,3.5463543617902393e-01,3.1519575354180684e-01,4.1016160973600990e-01,7.2875649764666539e-01,5.0735466533960805e-01,7.3508079984486785e-01,3.5680978610017888e-01,3.4203516467596412e-01,2.2222047829806946e-01,8.8433455119604529e-02,9.3411730505473045e-01,8.5350863950494382e-01,4.6102904814183832e-01,1.4587071330566453e-01,9.3601230303012195e-01,7.9920483898799710e-01,3.7046588616364873e-01
4.2179097919881370e-01,1.2945627645455024e-01,9.4666244884908934e-03,2.2509541150713849e-02,5.6051984000610111e-01,1.3770234444135249e-01,5.9984920349582926e-01,4.5722681480405120e-01,2.0360460201126332e-01,2.8419535638881402e-02,2.3726850994320903e-01,7.5593814790724134e-01,3.5086469322770913e-01,2.9203861891028436e-02,3.3151688158922088e-01,9.3024703424766852e-01,3.7204714130944139e-01,1.5980341019378597e-01,4.8158434657888166e-01,8.9556580623314086e-01,8.4815970954386688e-01,2.1745930174933070e-01,6.2808087506699861e-01,2.0383253919874234e-01,2.7001089235766190e-01,9.5236503631949065e-01,7.9367797624774616e-01,6.2941763023784492e-01,3.8927109852844111e-01,9.4801679831657271e-02,6.8080481726739417e-01,6.3372331270864235e-01,1.8969062813362425e-01,1.9564814704532182e-02,3.5736517881817620e-01,9.8003809096887240e-01,9.6562400725180120e-01
3.6194738247783165e-01,6.6941783054995718e-01,7.0717471219146488e-01,5.5704031013426247e-01,1.3913049600921767e-01,1.3843424683898792e-01,9.7013591407480015e-01,6.9449171250891406e-01,6.1028108404156423e-01,5.2609334140886432e-01,4.1550038401534106e-01,3.8718426300283881e-01,4.2450144796603112e-01,7.2102445901874224e-01,5.0936728024046529e-01,9.8680914282523724e-01,7.0635092472399585e-01,3.0702654203121926e-01,4.8401854985170795e-01,1.9527880275192011e-01,7.9345260968099240e-01,1.6943034019962888e-01,2.3086214584728609e-01,6.3916011724139365e-01,3.9209156582481997e-01,2.6683168921945999e-02,2.9556404407500980e-01,3.5901435898137091e-01,8.3075993782301172e-01,6.6764917204657392e-01,7.9689418485381219e-02,9.7634768119098692e-01,5.4268112654976119e-01,1.5584803295526717e-01,5.0384865819451230e-01,9.0432685049769868e-01,9.5240420097559730e-01
1.4676684068118262e-01,7.0247309009749581e-01,4.1302332756750282e-01,4.7033357557480016e-01,8.8790570179083583e-01,3.6280000176734917e-01,9.0745588921540343e-01,7.8236856775926755e-01,4.2079403946020494e-01,7.1081858441944412e-01,6.3788589134021478e-01,6.3208631590367759e-01,1.4847610599879055e-01,5.3687615135697642e-01,5.2911815634680792e-01,9.7814929522132354e-01,4.4469856150115339e-01,7.3427822956606370e-01,6.0521405102367387e-01,1.8645990862105633e-01,8.9054081097527282e-01,7.4432410301956309e-01,8.0637650362161872e-01,6.2845043036840487e-01,3.4427132355403989e-01,9.5846390611549404e-01,7.3932337149219529e-01,3.6851255856406728e-01,9.2657789540457203e-01,4.6160208252126234e-01,8.7505127508697766e-01,7.2860205194913352e-01,4.4835266894165937e-01,6.5200777476078109e-01,7.0395892018982342e-01,8.8079424909926973e-01,9.2030635032477370e-01
6.0140919674499327e-01,8.4856035487502646e-01,6.2378304432892206e-01,6.3210923124924889e-01,6.5295613030906319e-01,5.3383523332503380e-01,9.8952282412855042e-01,8.7799806322541740e-01,6.1925526658879826e-01,6.0459408940213266e-01,5.4468177834656561e-01,5.1196792178436445e-01,7.0567101026554269e-01,2.1895293178260988e-01,9.0813956338259352e-02,6.1904495082486088e-01,2.1670729062680305e-01,4.3445560356710189e-01,7.3052005578335844e-01,4.7934550582538171e-01,7.3316946133358585e-01,6.7267649067954816e-01,7.5615500950878056e-01,8.3891335028011471e-01,7.3819882138293136e-01,1.9203703721689980e-01,3.3001741316497535e-01,5.0650871812716458e-01,9.9048901024234315e-01,2.6363200406278076e-01,4.9591488652816973e-01,5.1480464214667043e-01,3.5802946988951467e-01,3.9712506924640967e-01,6.7624353099606338e-01,4.9539618821778886e-01,9.4481423639754492e-01
2.3000141695374676e-02,8.1284811137402990e-02,4.1382717468409380e-01,8.4444693124332754e-02,5.7897162232439703e-01,7.2631027493084546e-02,6.6081445715625708e-01,5.0040775495082956e-01,6.1909197252474492e-02,5.1767057787912418e-01,5.9654103969216199e-01,8.1219585876612532e-01,7.6648041581553568e-03,8.1355950021725398e-01,5.1778045425661057e-01,6.7280687510607090e-02,5.5302461834421501e-01,6.4310417801464625e-01,6.7058844024530453e-02,6.5355069407407251e-01,6.0716158226303441e-01,1.9687488383323726e-01,2.6271143281908194e-01,7.1869078359399352e-01,3.2818709616501790e-01,7.6693450074779590e-01,4.7988360173399697e-01,7.4148062615064536e-01,2.8950672090425100e-01,7.3040259291790643e-01,6.1565032107684670e-01,1.8025918235579003e-01,3.4085907624727282e-02,1.8564681110942871e-01,4.0466971491819231e-01,1.6154234841413428e-01,6.4596060378250786e-01
3.1463754533869848e-01,7.0488363898654038e-01,7.7276381718150877e-01,8.4940926669343630e-01,8.2238678323248249e-01,7.8585761541632726e-01,3.8971199242137028e-01,4.1874031566140846e-01,5.7245276178167437e-01,1.9456160703637745e-01,2.9422081195852989e-02,1.0146050270851299e-01,2.0081948838959657e-01,5.2904646538997957e-01,2.4160336385373254e-01,9.9977604147270194e-02,4.4987585022645216e-01,6.4039174849833680e-02,8.2091501378166321e-01,7.5249362893378469e-01,7.5159306336836140e-01,3.7593471663192290e-01,2.7971583682147239e-01,2.9236211994515515e-01,4.6965096274496504e-01,4.4409494565647090e-01,1.1448758844381995e-01,2.7250051516818041e-01,3.4633219141636085e-01,4.3990448643585944e-01,7.8213510896550598e-01,2.6422535816830944e-01,9.6702678445363743e-01,7.0501737130856157e-01,5.3444930831364856e-01,2.7787367602680924e-01,8.0112398142422236e-01
8.7984827444029645e-01,3.0421513901185504e-01,2.9167938092367018e-01,7.3289271185449767e-01,9.6814962451567332e-01,6.2969339502201116e-01,4.0680991992443172e-01,9.8233614708831157e-02,5.7394261895346177e-01,4.0866174391650946e-02,1.6071320344572038e-01,4.5599977655926111e-01,5.1879135425166545e-01,6.3876346812964180e-01,4.8988691701629239e-01,1.6499109960435307e-01,5.4817617413888831e-01,4.9889856144238465e-03,6.4349884289519454e-01,7.2578153153370084e-01,1.8241561539638240e-01,1.5640495670354415e-01,6.1519263408571667e-02,8.7404410333878935e-01,3.3282986977525891e-01,9.0986052236373105e-01,3.2658479626419418e-01,5.1877767817385922e-01,7.9076091893389222e-01,4.5148761902388679e-01,7.0562828319139270e-01,4.5649407194962982e-01,6.0280566398388136e-01,2.2955417114504140e-01,6.7659552265305412e-01,5.2134490297212266e-01,8.0664524447679575e-02
4.3938567966474551e-02,3.2800099043492875e-01,3.8583417020330657e-01,3.6380658690290352e-01,9.2725421544604658e-01,2.4024647808262664e-01,8.8166214472360629e-02,1.5799464265512708e-01,2.1627345792457350e-01,8.2691930315491463e-02,9.0559216292577460e-02,3.0380064961025738e-01,3.5232973896805553e-01,2.6840709479857516e-01,4.4420748175665720e-01,5.9865681893135847e-01,2.8782729130478996e-01,1.0517771931988729e-01,2.9039151137877317e-01,9.3410497944020210e-01,5.3163408717224303e-01,4.3803208441276276e-02,3.4889743601273354e-01,8.1520259463811606e-01,1.6425538945502594e-01,1.2627400535752553e-01,1.4842961062323767e-01,8.1608073687877841e-02,2.7779519638362093e-01,4.7053300103009477e-01,9.3085694390868290e-01,6.7683449021062836e-01,6.6688011892838883e-01,1.2078237898890978e-01,1.9541045016936384e-01,7.2593526805198527e-01,8.4834455806632758e-01
8.2568375251047232e-01,3.1584817772991625e-01,8.7603076913242894e-01,6.9437983785512125e-01,3.4838844695449134e-01,1.6938705977724883e-01,5.6847928393388403e-01,3.0865974220074599e-01,7.0896055766773469e-01,5.2373934565947466e-01,4.7888077997617295e-01,5.8124116570430484e-01,7.2225500961995237e-01,3.4396387962229441e-01,4.0136345319878747e-01,8.9526120006394116e-01,1.0642793347226875e-01,1.4874409570728764e-01,6.7642443823270992e-01,2.2635553984053902e-01,1.0024155921366046e-01,5.4476124367084311e-01,5.9231602685167917e-01,1.8139410493077657e-01,4.9109376102258823e-01,8.8949544436299477e-01,5.4056522342180624e-01,6.8568407949137500e-01,2.7913505564294949e-01,8.6283808171722509e-01,1.8173792335336225e-01,4.3483063114427928e-01,4.7861300925533123e-01,1.0436188353168196e-01,7.9636764998903065e-01,8.5514953010805828e-01,1.0915562027598735e-01
8.3667682632750595e-01,7.9564549928127515e-01,4.8324350798366966e-01,6.6269948411659674e-01,4.9453695551608301e-01,7.9534896815995682e-01,1.8122125114521009e-01,8.3087659212195811e-02,9.8117353760408665e-01,7.8214628753840165e-01,6.9571277383690400e-01,7.3087501176321318e-02,7.8104130481433542e-01,8.5206926150593010e-01,3.6648171638122018e-01,8.0894449873979479e-01,8.1351410638841382e-01,6.4670671810091540e-01,9.7183631938043635e-01,1.2137310616878993e-01,8.2574136121836106e-01,3.1628476044020837e-01,2.9556665161895740e-01,5.3704574534521110e-01,4.4805623398857364e-01,8.4102013310860668e-01,8.6018689009559468e-01,9.0346565015958391e-01,3.8457292570853108e-01,4.8988818785923749e-01,1.3795528132730392e-01,5.8953897619537210e-01,8.7790359315096866e-01,7.2675168241573140e-01,6.3047936483657763e-01,7.1626131293662554e-01,8.4618278302412508e-01
7.8354855806397761e-01,2.3244679985590541e-01,7.5413859330365018e-01,6.3102875287051541e-01,8.6129255719743991e-01,7.1707923811116225e-01,4.5582127586578824e-01,4.7507327351451606e-02,5.2292258056142593e-01,8.8646698795450951e-01,2.5068355016091282e-02,6.1554679250769372e-02,4.8363717354740721e-01,1.3534403321936528e-01,2.0715618205257602e-01,2.0258575358167097e-01,3.2127674380650262e-01,7.7080182056004176e-01,4.2698453967456179e-01,5.5451118404393629e-01,2.9404441628711758e-01,2.5232064104708218e-01,1.6934833581396882e-02,1.3579782220885073e-01,2.5362449512312063e-01,3.9147307999104020e-01,2.0397728937343521e-01,4.2757091465654096e-01,3.7437401801654602e-01,4.8451195159691679e-01,7.3726378783360280e-01,3.2366446056412890e-01,1.6870241499014790e-01,9.2592549036840732e-01,2.7634103354582790e-02,3.6025951995170336e-01,5.5172798944562884e-01
6.0662853049906129e-01,1.8275363484462370e-01,7.9759562674097029e-01,9.2812323472957270e-01,4.8666946470918138e-01,3.8704199056016919e-01,5.5737958386852393e-01,3.4962961626504740e-01,7.3878606545181147e-01,7.6871544019340332e-01,4.4470348132651738e-01,3.0571035811680969e-01,1.9242438605254417e-01,8.5731015382154074e-01,7.9868580589305460e-01,6.1206863809782974e-01,7.9776802502084876e-01,9.8411568594320165e-01,6.6914201370736404e-01,5.9017693810051153e-01,5.1000961961454194e-01,1.5107690217561154e-01,6.2237744211994483e-01,9.2525588400134628e-01,5.5284626099476397e-01,9.8177379137357246e-02,4.2670204509534315e-01,3.8441576341708855e-01,6.8941467423739589e-01,8.7617515151023140e-01,4.3366801683495748e-01,6.2988599872572659e-01,3.2376545109955235e-01,4.9581636105931060e-01,4.4893362077206245e-01,1.2719510482536123e-01,6.6648674440790590e-02
8.7363504814736492e-01,1.7778690658655272e-01,9.0415652467891938e-01,8.6880326566798804e-01,2.7590355734562255e-02,3.6429279005699100e-01,1.8021823947287502e-01,1.8239940611506716e-01,4.9134737680841989e-01,2.7694275628878895e-01,6.3204575323318379e-01,1.1581599774893382e-01,5.7413234998538987e-01,4.8427333112934945e-01,2.1753854522035884e-01,8.8079681139610644e-01,4.3708508507386595e-01,2.2462081801919687e-01,4.4757703053367037e-01,6.6921126128202535e-01,9.2795877226748957e-01,8.2494935049908014e-02,9.0204205309481567e-01,1.9098016964278064e-01,2.8431834422206437e-01,1.6694403091546040e-01,5.7987847457368746e-01,8.3611035864244831e-01,4.1257033093414996e-02,8.0247265058480022e-01,1.1086057899200533e-01,7.9655792943857429e-01,4.2009004277433365e-01,1.0885409882744890e-01,9.0959790707413801e-01,9.3343978335403754e-01,7.1565107430984320e-01
9.8305762585652001e-01,7.5981504447580317e-01,2.3421356196562160e-02,2.7153142174499773e-01,8.4533608490851497e-01,9.5094154532205699e-01,5.3656352158407961e-01,6.4462080527312315e-01,9.3318946630916322e-01,8.4759596890268862e-01,7.5907285284036363e-01,6.6312020586858011e-01,9.0083619865693043e-01,8.9986350897367573e-01,6.1098910693940445e-01,4.7162672743957185e-01,9.1174176695212816e-01,4.3106694775267895e-01,9.5176798024981424e-01,5.3097597886960135e-01,4.4281062888573264e-01,1.3196998822544925e-01,8.5929475572709890e-01,1.7542278577846560e-01,3.2301079962927831e-01,2.9976038268059568e-01,2.4734017880634213e-01,2.4079667253986028e-01,3.5536789013171632e-01,4.7247461508957533e-01,8.4046226254630696e-01,8.4375941132446075e-01,7.2091653770542719e-01,7.9530889454889375e-01,2.4675333904382635e-01,5.8720575798089691e-01,1.5891139636674256e-01
4.5443864330238504e-01,3.2184700083219364e-01,3.8190018558160821e-01,3.4387947512430955e-01,4.8345300076768738e-01,2.1011942925328037e-01,2.8292419941422686e-01,3.1642229529602850e-01,6.9187906081523609e-01,2.4534110323626590e-01,1.0894063467297999e-01,1.2404735761956426e-01,2.6547546124661420e-01,2.2574039645041427e-01,1.2480920788770472e-01,1.9055407906016428e-03,3.1912364162660203e-02,3.0251471539978114e-01,3.6054726457852537e-01,8.5772609105167930e-01,8.4594389807810283e-02,6.2568456074571621e-01,1.6420202291401145e-01,7.0256333467793031e-02,4.1849519360632387e-01,2.3768389398741596e-01,1.2800513224792742e-01,2.1062305015714697e-01,3.1470749426398470e-01,4.6629671834512099e-01,3.6119158958388553e-01,4.8907252855752099e-02,4.4362854378904626e-01,3.0486774603194260e-02,1.2619201374006453e-01,1.2289907547402756e-01,2.0128810770366790e-01
9.2389216774539595e-01,5.0997721714997257e-01,3.1782662574585929e-01,1.0495709620634774e-01,6.2074534537272630e-01,7.2553799375948225e-01,7.3142774955311651e-01,6.4067212683789354e-01,6.4683891448972242e-01,9.0488334306628415e-01,6.7822750330470627e-01,7.4193288807548430e-01,7.8398336283254366e-01,1.6322501131274070e-01,1.9047499085006636e-01,3.0137767865942966e-02,2.5261797702311772e-01,9.6053664886556978e-01,4.9298229794429504e-01,3.1514830899896085e-01,1.0691886147790945e-01,7.3575337288646114e-01,6.1763899975790970e-01,3.2401349294404214e-01,4.9900018911678756e-01,2.6145581699629195e-01,1.9341937018007355e-01,1.5289546432333639e-01,9.2586456622894220e-01,1.4211449270332202e-01,7.8536807593726821e-01,4.6873473601493160e-02,4.4163771390834594e-01,8.3838268158616369e-01,2.8501451766585900e-01,1.5631807879182169e-02,9.2278415565530070e-02
4.4859812210139771e-01,5.8964163686489479e-01,7.3954298597467871e-01,6.1160817866261619e-01,2.2854867222446296e-01,6.5468438944717389e-01,9.5803125143526036e-01,7.0804699426798590e-01,6.2448171733866653e-01,6.8653163992032540e-01,8.8983635428317531e-01,8.4751616690746090e-01,5.4404201802622498e-01,4.6045889885379976e-01,7.0133414891854273e-01,3.6269125364849464e-01,3.5376749218785680e-01,4.6655835461302475e-01,3.1295202435856434e-01,4.1270903049414165e-01,6.8406709781189523e-01,1.3416081736615237e-01,9.8466322272283058e-01,5.8225481363897513e-01,7.0936549267780347e-01,3.9605140184388476e-01,5.9299117175157967e-01,8.7318685175128641e-01,5.9628937867654908e-01,3.9627684903712085e-01,1.7156258032985380e-01,4.3268521090643464e-01,7.2973974681057396e-01,5.6322434703714119e-01,1.5649340834729847e-01,1.1632414017886417e-01,1.8555629273674490e-01
3.0724052423555670e-01,2.6758146547077211e-01,6.1096129279354794e-01,5.1670806734178754e-01,3.9819469573642241e-01,1.7340372066093346e-01,1.2659553972106269e-01,3.8982747198073242e-01,3.7855854362712749e-01,6.1713861056199448e-01,8.9743024528702842e-01,7.4390660068074399e-01,3.5768930921078712e-01,4.2917850968659099e-01,6.4916158332775520e-01,2.7750140414612878e-01,3.1456649031166650e-01,1.4812753561113867e-01,5.7746991511294907e-02,3.3327238767690637e-01,6.4564685721683346e-01,2.3661399642431746e-02,6.3091584597833861e-01,6.5321592622818847e-01,3.1478802511816750e-01,4.6435940895482442e-01,3.1896021323479790e-01,5.9195635379828304e-01,4.8125460760461936e-01,6.8543221737300275e-01,4.4137978490643665e-01,4.1652118223503742e-01,2.9745948366094878e-02,5.1069909468864516e-01,2.4858202802074614e-01,4.2645366675991858e-01,3.3602712995340833e-01
